id,layer,expert,decision,active_runs,early_only_runs,later_active_runs,total_early_count,total_later_count,early_only_rate_active,later_share,trim_decision,personal_classification,early_only_labels,later_active_labels
L14.E010,14,10,evict_after_prefix_candidate,5,5,0,5,0,1.0,0.0,keep,ordinary,coding_agent_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,
L15.E036,15,36,evict_after_prefix_candidate,5,5,0,5,0,1.0,0.0,keep,low_use_merge_candidate,agent_orchestration_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;social_support_reasoning_off_timeline4,
L17.E081,17,81,evict_after_prefix_candidate,5,5,0,5,0,1.0,0.0,keep,ordinary,coding_agent_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,
L20.E000,20,0,evict_after_prefix_candidate,5,5,0,5,0,1.0,0.0,keep,ordinary,coding_agent_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,
L16.E009,16,9,evict_after_prefix_candidate,4,4,0,4,0,1.0,0.0,keep,ordinary,agent_orchestration_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4,
L23.E001,23,1,evict_after_prefix_candidate,4,4,0,4,0,1.0,0.0,keep,ordinary,expert_surgery_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,
L18.E064,18,64,evict_after_prefix_candidate,3,3,0,4,0,1.0,0.0,keep,ordinary,expert_surgery_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;social_support_reasoning_off_timeline4,
L23.E086,23,86,evict_after_prefix_candidate,3,3,0,4,0,1.0,0.0,keep,ordinary,agent_orchestration_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4,
L07.E121,7,121,evict_after_prefix_candidate,3,3,0,3,0,1.0,0.0,keep,ordinary,coding_agent_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4,
L16.E082,16,82,evict_after_prefix_candidate,2,2,0,2,0,1.0,0.0,needs_more_data,cold_trim_candidate,code_review_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,
L27.E105,27,105,evict_after_prefix_candidate,2,2,0,2,0,1.0,0.0,keep,ordinary,personal_research_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4,
L06.E054,6,54,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,keep,low_use_merge_candidate,routine_monitoring_reasoning_off_timeline4,
L08.E100,8,100,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,keep,low_use_merge_candidate,social_support_reasoning_off_timeline4,
L09.E116,9,116,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,keep,low_use_merge_candidate,social_support_reasoning_off_timeline4,
L10.E024,10,24,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,needs_more_data,cold_trim_candidate,expert_surgery_reasoning_off_timeline4,
L11.E026,11,26,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,keep,ordinary,expert_surgery_reasoning_off_timeline4,
L14.E003,14,3,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,needs_more_data,cold_trim_candidate,social_support_reasoning_off_timeline4,
L14.E109,14,109,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,keep,ordinary,instruction_following_reasoning_off_timeline4,
L15.E110,15,110,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,keep,ordinary,local_system_ops_reasoning_off_timeline4,
L17.E008,17,8,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,keep,low_use_merge_candidate,local_system_ops_reasoning_off_timeline4,
L22.E002,22,2,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,needs_more_data,cold_trim_candidate,code_review_reasoning_off_timeline4,
L24.E012,24,12,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,keep,ordinary,model_ops_reasoning_off_timeline4,
L25.E115,25,115,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,keep,ordinary,local_system_ops_reasoning_off_timeline4,
L26.E063,26,63,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,keep,ordinary,code_review_reasoning_off_timeline4,
L28.E078,28,78,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,keep,ordinary,coding_agent_reasoning_off_timeline4,
L29.E068,29,68,evict_after_prefix_candidate,1,1,0,1,0,1.0,0.0,keep,ordinary,personalization_memory_reasoning_off_timeline4,
L26.E120,26,120,keep_runtime_later_used,13,12,1,41,1,0.9230769230769231,0.023809523809523808,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,personal_research_reasoning_off_timeline4
L23.E038,23,38,keep_runtime_later_used,13,12,1,27,1,0.9230769230769231,0.03571428571428571,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,personal_research_reasoning_off_timeline4
L25.E074,25,74,keep_runtime_later_used,13,11,2,39,2,0.8461538461538461,0.04878048780487805,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4
L12.E049,12,49,keep_runtime_later_used,13,11,2,26,2,0.8461538461538461,0.07142857142857142,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,eval_design_reasoning_off_timeline4;model_ops_reasoning_off_timeline4
L00.E045,0,45,keep_runtime_later_used,13,11,2,13,4,0.8461538461538461,0.23529411764705882,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,eval_design_reasoning_off_timeline4;model_ops_reasoning_off_timeline4
L07.E110,7,110,keep_runtime_later_used,13,10,3,22,3,0.7692307692307693,0.12,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,eval_design_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4
L05.E063,5,63,keep_runtime_later_used,13,10,3,13,3,0.7692307692307693,0.1875,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,eval_design_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4
L22.E040,22,40,keep_runtime_later_used,11,10,1,10,1,0.9090909090909091,0.09090909090909091,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;social_support_reasoning_off_timeline4,personal_research_reasoning_off_timeline4
L05.E086,5,86,keep_runtime_later_used,12,9,3,16,4,0.75,0.2,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,personal_research_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4
L22.E089,22,89,keep_runtime_later_used,12,9,3,12,3,0.75,0.2,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,eval_design_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4
